,case_id,activity,agent,start,end
28,0,Applicant completes form,18,2023-04-20 18:31:11.775552175+00:00,2023-04-20 19:31:11.775552175+00:00
29,0,Check application form completeness,0,2023-04-20 19:31:11.775552175+00:00,2023-04-20 19:43:03.672383602+00:00
30,0,Appraise property,3,2023-04-20 19:43:03.672383602+00:00,2023-04-20 22:08:46.763255574+00:00
31,0,AML check,2,2023-04-20 22:08:46.763255574+00:00,2023-04-20 22:54:34.555781553+00:00
32,0,Check credit history,0,2023-04-20 22:54:34.555781553+00:00,2023-04-20 23:42:18.145885340+00:00
33,0,Assess loan risk,11,2023-04-20 23:42:18.145885340+00:00,2023-04-21 00:02:18.145885340+00:00
34,0,Applicant completes form,18,2023-04-21 00:02:18.145885340+00:00,2023-04-21 01:02:18.145885340+00:00
35,0,Check application form completeness,0,2023-04-21 01:02:18.145885340+00:00,2023-04-21 01:05:10.374777658+00:00
36,0,Appraise property,3,2023-04-21 01:05:10.374777658+00:00,2023-04-21 02:17:53.195334659+00:00
37,0,AML check,2,2023-04-21 02:17:53.195334659+00:00,2023-04-21 02:24:59.423124313+00:00
38,0,Check credit history,0,2023-04-21 02:24:59.423124313+00:00,2023-04-21 03:00:55.478753639+00:00
39,0,Assess loan risk,11,2023-04-21 03:00:55.478753639+00:00,2023-04-21 03:20:55.478753639+00:00
40,0,Approve application,0,2023-04-21 03:20:55.478753639+00:00,2023-04-21 03:25:55.478753639+00:00
41,0,zzz_end,0,2023-04-21 03:25:55.478753639+00:00,2023-04-21 03:25:55.478753639+00:00
42,1,Check application form completeness,0,2023-04-20 08:30:00+00:00,2023-04-20 08:31:53.245839448+00:00
43,1,Appraise property,3,2023-04-20 08:31:53.245839448+00:00,2023-04-20 08:37:31.021612359+00:00
44,1,AML check,2,2023-04-20 08:37:31.021612359+00:00,2023-04-20 08:50:26.302846108+00:00
45,1,Check credit history,0,2023-04-20 08:50:26.302846108+00:00,2023-04-20 08:55:17.432537869+00:00
46,1,Assess loan risk,11,2023-04-20 08:55:17.432537869+00:00,2023-04-20 09:15:17.432537869+00:00
47,1,Check credit history,0,2023-04-20 09:15:17.432537869+00:00,2023-04-20 09:46:55.392130483+00:00
48,1,Assess loan risk,11,2023-04-20 09:46:55.392130483+00:00,2023-04-20 10:06:55.392130483+00:00
49,1,Reject application,0,2023-04-20 10:06:55.392130483+00:00,2023-04-20 10:16:55.392130483+00:00
50,1,zzz_end,0,2023-04-20 10:16:55.392130483+00:00,2023-04-20 10:16:55.392130483+00:00
51,2,Check application form completeness,0,2023-04-20 09:00:00+00:00,2023-04-20 09:01:29.748017570+00:00
52,2,Appraise property,3,2023-04-20 09:01:29.748017570+00:00,2023-04-20 09:13:02.038862565+00:00
53,2,AML check,2,2023-04-20 09:13:02.038862565+00:00,2023-04-20 09:14:37.245037024+00:00
54,2,Check credit history,0,2023-04-20 09:14:37.245037024+00:00,2023-04-20 10:05:13.766750221+00:00
55,2,Assess loan risk,11,2023-04-20 10:05:13.766750221+00:00,2023-04-20 10:25:13.766750221+00:00
56,2,AML check,2,2023-04-20 10:25:13.766750221+00:00,2023-04-20 10:51:35.157271009+00:00
57,2,Assess loan risk,11,2023-04-20 10:51:35.157271009+00:00,2023-04-20 11:11:35.157271009+00:00
58,2,Design loan offer,11,2023-04-20 11:11:35.157271009+00:00,2023-04-20 11:17:14.232738704+00:00
59,2,Approve loan offer,14,2023-04-20 11:17:14.232738704+00:00,2023-04-20 11:37:14.232738704+00:00
60,2,Cancel application,0,2023-04-20 11:37:14.232738704+00:00,2023-04-20 11:42:14.232738704+00:00
61,2,zzz_end,0,2023-04-20 11:42:14.232738704+00:00,2023-04-20 11:42:14.232738704+00:00
62,3,Check application form completeness,0,2023-04-20 09:30:00+00:00,2023-04-20 09:47:25.951285738+00:00
63,3,Appraise property,3,2023-04-20 09:47:25.951285738+00:00,2023-04-20 09:51:34.645338439+00:00
64,3,AML check,2,2023-04-20 09:51:34.645338439+00:00,2023-04-20 10:57:05.719611992+00:00
65,3,Check credit history,0,2023-04-20 10:57:05.719611992+00:00,2023-04-20 11:59:51.166632767+00:00
66,3,Assess loan risk,11,2023-04-20 11:59:51.166632767+00:00,2023-04-20 12:19:51.166632767+00:00
67,3,Check credit history,0,2023-04-20 12:19:51.166632767+00:00,2023-04-20 12:26:18.748401164+00:00
68,3,Assess loan risk,11,2023-04-20 12:26:18.748401164+00:00,2023-04-20 12:46:18.748401164+00:00
69,3,Assess loan risk,11,2023-04-20 12:46:18.748401164+00:00,2023-04-20 13:06:18.748401164+00:00
70,3,Appraise property,3,2023-04-20 13:06:18.748401164+00:00,2023-04-20 13:17:31.839597539+00:00
71,3,Assess loan risk,11,2023-04-20 13:17:31.839597539+00:00,2023-04-20 13:37:31.839597539+00:00
72,3,Assess loan risk,11,2023-04-20 13:37:31.839597539+00:00,2023-04-20 13:57:31.839597539+00:00
73,3,Check credit history,0,2023-04-20 13:57:31.839597539+00:00,2023-04-20 14:07:14.536869004+00:00
74,3,Assess loan risk,11,2023-04-20 14:07:14.536869004+00:00,2023-04-20 14:27:14.536869004+00:00
75,3,Return application back to applicant,0,2023-04-20 14:27:14.536869004+00:00,2023-04-20 14:32:14.536869004+00:00
76,3,Applicant completes form,18,2023-04-20 14:32:14.536869004+00:00,2023-04-20 15:32:14.536869004+00:00
77,3,Check application form completeness,0,2023-04-20 15:32:14.536869004+00:00,2023-04-20 15:38:47.540105362+00:00
78,3,Appraise property,3,2023-04-20 15:38:47.540105362+00:00,2023-04-20 16:57:20.175865480+00:00
79,3,AML check,2,2023-04-20 16:57:20.175865480+00:00,2023-04-20 17:03:03.828147428+00:00
80,3,Check credit history,0,2023-04-20 17:03:03.828147428+00:00,2023-04-20 17:06:23.633662198+00:00
81,3,Assess loan risk,11,2023-04-20 17:06:23.633662198+00:00,2023-04-20 17:26:23.633662198+00:00
82,3,Design loan offer,11,2023-04-20 17:26:23.633662198+00:00,2023-04-20 17:27:13.431805006+00:00
83,3,Approve loan offer,14,2023-04-20 17:27:13.431805006+00:00,2023-04-20 17:47:13.431805006+00:00
84,3,Return application back to applicant,0,2023-04-20 17:47:13.431805006+00:00,2023-04-20 17:52:13.431805006+00:00
85,3,Applicant completes form,18,2023-04-20 17:52:13.431805006+00:00,2023-04-20 18:52:13.431805006+00:00
86,3,Check application form completeness,0,2023-04-20 18:52:13.431805006+00:00,2023-04-20 19:05:21.554429934+00:00
87,3,Appraise property,3,2023-04-20 19:05:21.554429934+00:00,2023-04-20 19:18:33.495740383+00:00
88,3,AML check,2,2023-04-20 19:18:33.495740383+00:00,2023-04-20 20:59:40.402155830+00:00
89,3,Check credit history,0,2023-04-20 20:59:40.402155830+00:00,2023-04-20 21:25:49.851237281+00:00
90,3,Assess loan risk,11,2023-04-20 21:25:49.851237281+00:00,2023-04-20 21:45:49.851237281+00:00
91,3,Design loan offer,11,2023-04-20 21:45:49.851237281+00:00,2023-04-20 21:47:21.425233572+00:00
92,3,Approve loan offer,14,2023-04-20 21:47:21.425233572+00:00,2023-04-20 22:07:21.425233572+00:00
93,3,Design loan offer,11,2023-04-20 22:07:21.425233572+00:00,2023-04-20 22:08:25.880522905+00:00
94,3,Approve loan offer,14,2023-04-20 22:08:25.880522905+00:00,2023-04-20 22:28:25.880522905+00:00
95,3,Check credit history,0,2023-04-20 22:28:25.880522905+00:00,2023-04-20 23:03:28.120864221+00:00
96,3,Assess loan risk,11,2023-04-20 23:03:28.120864221+00:00,2023-04-20 23:23:28.120864221+00:00
97,3,Return application back to applicant,0,2023-04-20 23:23:28.120864221+00:00,2023-04-20 23:28:28.120864221+00:00
98,3,Applicant completes form,18,2023-04-20 23:28:28.120864221+00:00,2023-04-21 00:28:28.120864221+00:00
99,3,Check application form completeness,0,2023-04-21 00:28:28.120864221+00:00,2023-04-21 00:37:40.468335775+00:00
100,3,Appraise property,3,2023-04-21 00:37:40.468335775+00:00,2023-04-21 01:09:52.566373093+00:00
101,3,AML check,2,2023-04-21 01:09:52.566373093+00:00,2023-04-21 01:49:13.730806690+00:00
102,3,Check credit history,0,2023-04-21 01:49:13.730806690+00:00,2023-04-21 02:27:31.795203190+00:00
103,3,Assess loan risk,11,2023-04-21 02:27:31.795203190+00:00,2023-04-21 02:47:31.795203190+00:00
104,3,Check credit history,0,2023-04-21 02:47:31.795203190+00:00,2023-04-21 02:56:40.019907401+00:00
105,3,Assess loan risk,11,2023-04-21 02:56:40.019907401+00:00,2023-04-21 03:16:40.019907401+00:00
106,3,Approve application,0,2023-04-21 03:16:40.019907401+00:00,2023-04-21 03:21:40.019907401+00:00
107,3,zzz_end,0,2023-04-21 03:21:40.019907401+00:00,2023-04-21 03:21:40.019907401+00:00
108,4,Check application form completeness,0,2023-04-20 10:00:00+00:00,2023-04-20 10:04:01.248789408+00:00
109,4,Appraise property,3,2023-04-20 10:04:01.248789408+00:00,2023-04-20 11:00:24.967419440+00:00
110,4,AML check,2,2023-04-20 11:00:24.967419440+00:00,2023-04-20 12:14:52.348525501+00:00
111,4,Check credit history,0,2023-04-20 12:14:52.348525501+00:00,2023-04-20 12:28:43.434817101+00:00
112,4,Assess loan risk,11,2023-04-20 12:28:43.434817101+00:00,2023-04-20 12:48:43.434817101+00:00
113,4,Check credit history,0,2023-04-20 12:48:43.434817101+00:00,2023-04-20 12:59:08.303678092+00:00
114,4,Assess loan risk,11,2023-04-20 12:59:08.303678092+00:00,2023-04-20 13:19:08.303678092+00:00
115,4,Assess loan risk,11,2023-04-20 13:19:08.303678092+00:00,2023-04-20 13:39:08.303678092+00:00
116,4,Appraise property,3,2023-04-20 13:39:08.303678092+00:00,2023-04-20 14:11:41.976908415+00:00
117,4,Assess loan risk,11,2023-04-20 14:11:41.976908415+00:00,2023-04-20 14:31:41.976908415+00:00
118,4,Check credit history,0,2023-04-20 14:31:41.976908415+00:00,2023-04-20 16:03:26.754586131+00:00
119,4,Assess loan risk,11,2023-04-20 16:03:26.754586131+00:00,2023-04-20 16:23:26.754586131+00:00
120,4,Return application back to applicant,0,2023-04-20 16:23:26.754586131+00:00,2023-04-20 16:28:26.754586131+00:00
121,4,Applicant completes form,18,2023-04-20 16:28:26.754586131+00:00,2023-04-20 17:28:26.754586131+00:00
122,4,Check application form completeness,0,2023-04-20 17:28:26.754586131+00:00,2023-04-20 17:29:51.352462268+00:00
123,4,Appraise property,3,2023-04-20 17:29:51.352462268+00:00,2023-04-20 18:49:03.892913427+00:00
124,4,AML check,2,2023-04-20 18:49:03.892913427+00:00,2023-04-20 19:36:07.616673964+00:00
125,4,Check credit history,0,2023-04-20 19:36:07.616673964+00:00,2023-04-20 19:47:21.953514573+00:00
126,4,Assess loan risk,11,2023-04-20 19:47:21.953514573+00:00,2023-04-20 20:07:21.953514573+00:00
127,4,Return application back to applicant,0,2023-04-20 20:07:21.953514573+00:00,2023-04-20 20:12:21.953514573+00:00
128,4,Applicant completes form,18,2023-04-20 20:12:21.953514573+00:00,2023-04-20 21:12:21.953514573+00:00
129,4,Check application form completeness,0,2023-04-20 21:12:21.953514573+00:00,2023-04-20 21:30:31.067488184+00:00
130,4,Appraise property,3,2023-04-20 21:30:31.067488184+00:00,2023-04-20 22:04:35.676730296+00:00
131,4,AML check,2,2023-04-20 22:04:35.676730296+00:00,2023-04-20 22:29:06.659404273+00:00
132,4,Check credit history,0,2023-04-20 22:29:06.659404273+00:00,2023-04-20 23:36:10.205065012+00:00
133,4,Assess loan risk,11,2023-04-20 23:36:10.205065012+00:00,2023-04-20 23:56:10.205065012+00:00
134,4,AML check,2,2023-04-20 23:56:10.205065012+00:00,2023-04-21 00:27:35.139402548+00:00
135,4,Assess loan risk,11,2023-04-21 00:27:35.139402548+00:00,2023-04-21 00:47:35.139402548+00:00
136,4,Design loan offer,11,2023-04-21 00:47:35.139402548+00:00,2023-04-21 00:47:43.704444467+00:00
137,4,Approve loan offer,14,2023-04-21 00:47:43.704444467+00:00,2023-04-21 01:07:43.704444467+00:00
138,4,Approve application,0,2023-04-21 01:07:43.704444467+00:00,2023-04-21 01:12:43.704444467+00:00
139,4,zzz_end,0,2023-04-21 01:12:43.704444467+00:00,2023-04-21 01:12:43.704444467+00:00
140,5,Check application form completeness,0,2023-04-20 10:30:00+00:00,2023-04-20 10:37:02.211625138+00:00
141,5,Appraise property,3,2023-04-20 10:37:02.211625138+00:00,2023-04-20 10:54:47.528596114+00:00
142,5,AML check,2,2023-04-20 10:54:47.528596114+00:00,2023-04-20 11:07:00.310004649+00:00
143,5,Check credit history,0,2023-04-20 11:07:00.310004649+00:00,2023-04-20 11:19:31.339892470+00:00
144,5,Assess loan risk,11,2023-04-20 11:19:31.339892470+00:00,2023-04-20 11:39:31.339892470+00:00
145,5,Check application form completeness,0,2023-04-20 11:39:31.339892470+00:00,2023-04-20 11:56:45.465661107+00:00
146,5,Appraise property,3,2023-04-20 11:56:45.465661107+00:00,2023-04-20 13:18:35.070988513+00:00
147,5,AML check,2,2023-04-20 13:18:35.070988513+00:00,2023-04-20 13:28:53.335985348+00:00
148,5,Check credit history,0,2023-04-20 13:28:53.335985348+00:00,2023-04-20 13:38:23.567191982+00:00
149,5,Assess loan risk,11,2023-04-20 13:38:23.567191982+00:00,2023-04-20 13:58:23.567191982+00:00
150,5,Assess loan risk,11,2023-04-20 13:58:23.567191982+00:00,2023-04-20 14:18:23.567191982+00:00
151,5,Check application form completeness,0,2023-04-20 14:18:23.567191982+00:00,2023-04-20 14:26:50.580728214+00:00
152,5,Appraise property,3,2023-04-20 14:26:50.580728214+00:00,2023-04-20 15:42:58.471726586+00:00
153,5,AML check,2,2023-04-20 15:42:58.471726586+00:00,2023-04-20 16:18:46.436271400+00:00
154,5,Check credit history,0,2023-04-20 16:18:46.436271400+00:00,2023-04-20 16:26:18.342469638+00:00
155,5,Assess loan risk,11,2023-04-20 16:26:18.342469638+00:00,2023-04-20 16:46:18.342469638+00:00
156,5,Design loan offer,11,2023-04-20 16:46:18.342469638+00:00,2023-04-20 16:46:24.466763420+00:00
157,5,Approve loan offer,14,2023-04-20 16:46:24.466763420+00:00,2023-04-20 17:06:24.466763420+00:00
158,5,Return application back to applicant,0,2023-04-20 17:06:24.466763420+00:00,2023-04-20 17:11:24.466763420+00:00
159,5,Applicant completes form,18,2023-04-20 17:11:24.466763420+00:00,2023-04-20 18:11:24.466763420+00:00
160,5,Check application form completeness,0,2023-04-20 18:11:24.466763420+00:00,2023-04-20 18:24:45.301369994+00:00
161,5,Appraise property,3,2023-04-20 18:24:45.301369994+00:00,2023-04-20 18:31:24.927290710+00:00
162,5,AML check,2,2023-04-20 18:31:24.927290710+00:00,2023-04-20 20:02:32.508117433+00:00
163,5,Check credit history,0,2023-04-20 20:02:32.508117433+00:00,2023-04-20 21:03:55.396111515+00:00
164,5,Assess loan risk,11,2023-04-20 21:03:55.396111515+00:00,2023-04-20 21:23:55.396111515+00:00
165,5,Appraise property,3,2023-04-20 21:23:55.396111515+00:00,2023-04-20 21:29:17.822169501+00:00
166,5,Assess loan risk,11,2023-04-20 21:29:17.822169501+00:00,2023-04-20 21:49:17.822169501+00:00
167,5,AML check,2,2023-04-20 21:49:17.822169501+00:00,2023-04-20 21:52:12.451578466+00:00
168,5,Assess loan risk,11,2023-04-20 21:52:12.451578466+00:00,2023-04-20 22:12:12.451578466+00:00
169,5,Approve application,0,2023-04-20 22:12:12.451578466+00:00,2023-04-20 22:17:12.451578466+00:00
170,5,zzz_end,0,2023-04-20 22:17:12.451578466+00:00,2023-04-20 22:17:12.451578466+00:00
171,6,Check application form completeness,0,2023-04-20 11:00:00+00:00,2023-04-20 11:06:58.691280719+00:00
172,6,Appraise property,3,2023-04-20 11:06:58.691280719+00:00,2023-04-20 12:40:03.405203614+00:00
173,6,AML check,2,2023-04-20 12:40:03.405203614+00:00,2023-04-20 13:07:39.441352068+00:00
174,6,Check credit history,0,2023-04-20 13:07:39.441352068+00:00,2023-04-20 13:11:56.562559572+00:00
175,6,Assess loan risk,11,2023-04-20 13:11:56.562559572+00:00,2023-04-20 13:31:56.562559572+00:00
176,6,AML check,2,2023-04-20 13:31:56.562559572+00:00,2023-04-20 14:55:26.030973103+00:00
177,6,Assess loan risk,11,2023-04-20 14:55:26.030973103+00:00,2023-04-20 15:15:26.030973103+00:00
178,6,Assess loan risk,11,2023-04-20 15:15:26.030973103+00:00,2023-04-20 15:35:26.030973103+00:00
179,6,Assess loan risk,11,2023-04-20 15:35:26.030973103+00:00,2023-04-20 15:55:26.030973103+00:00
180,6,AML check,2,2023-04-20 15:55:26.030973103+00:00,2023-04-20 18:26:41.678807969+00:00
181,6,Assess loan risk,11,2023-04-20 18:26:41.678807969+00:00,2023-04-20 18:46:41.678807969+00:00
182,6,Assess loan risk,11,2023-04-20 18:46:41.678807969+00:00,2023-04-20 19:06:41.678807969+00:00
183,6,Return application back to applicant,0,2023-04-20 19:06:41.678807969+00:00,2023-04-20 19:11:41.678807969+00:00
184,6,Applicant completes form,18,2023-04-20 19:11:41.678807969+00:00,2023-04-20 20:11:41.678807969+00:00
185,6,Check application form completeness,0,2023-04-20 20:11:41.678807969+00:00,2023-04-20 20:14:43.819532866+00:00
186,6,Appraise property,3,2023-04-20 20:14:43.819532866+00:00,2023-04-20 20:28:08.926282455+00:00
187,6,AML check,2,2023-04-20 20:28:08.926282455+00:00,2023-04-20 21:42:53.800642308+00:00
188,6,Check credit history,0,2023-04-20 21:42:53.800642308+00:00,2023-04-20 22:20:49.788935039+00:00
189,6,Assess loan risk,11,2023-04-20 22:20:49.788935039+00:00,2023-04-20 22:40:49.788935039+00:00
190,6,AML check,2,2023-04-20 22:40:49.788935039+00:00,2023-04-20 22:47:44.320712125+00:00
191,6,Assess loan risk,11,2023-04-20 22:47:44.320712125+00:00,2023-04-20 23:07:44.320712125+00:00
192,6,Appraise property,3,2023-04-20 23:07:44.320712125+00:00,2023-04-20 23:14:47.676343448+00:00
193,6,Assess loan risk,11,2023-04-20 23:14:47.676343448+00:00,2023-04-20 23:34:47.676343448+00:00
194,6,Check credit history,0,2023-04-20 23:34:47.676343448+00:00,2023-04-21 00:15:30.142481601+00:00
195,6,Assess loan risk,11,2023-04-21 00:15:30.142481601+00:00,2023-04-21 00:35:30.142481601+00:00
196,6,Appraise property,3,2023-04-21 00:35:30.142481601+00:00,2023-04-21 01:02:18.147555688+00:00
197,6,Assess loan risk,11,2023-04-21 01:02:18.147555688+00:00,2023-04-21 01:22:18.147555688+00:00
198,6,Applicant completes form,18,2023-04-21 01:22:18.147555688+00:00,2023-04-21 02:22:18.147555688+00:00
199,6,Check application form completeness,0,2023-04-21 02:22:18.147555688+00:00,2023-04-21 02:23:04.046953665+00:00
200,6,Appraise property,3,2023-04-21 02:23:04.046953665+00:00,2023-04-21 03:06:16.605685624+00:00
201,6,AML check,2,2023-04-21 03:06:16.605685624+00:00,2023-04-21 04:15:58.701056568+00:00
202,6,Check credit history,0,2023-04-21 04:15:58.701056568+00:00,2023-04-21 04:50:02.069410101+00:00
203,6,Assess loan risk,11,2023-04-21 04:50:02.069410101+00:00,2023-04-21 05:10:02.069410101+00:00
204,6,Reject application,0,2023-04-21 05:10:02.069410101+00:00,2023-04-21 05:20:02.069410101+00:00
205,6,zzz_end,0,2023-04-21 05:20:02.069410101+00:00,2023-04-21 05:20:02.069410101+00:00
206,7,Check application form completeness,0,2023-04-20 11:30:00+00:00,2023-04-20 11:35:17.746879713+00:00
207,7,Appraise property,3,2023-04-20 11:35:17.746879713+00:00,2023-04-20 11:55:42.380032241+00:00
208,7,AML check,2,2023-04-20 11:55:42.380032241+00:00,2023-04-20 12:03:03.780860827+00:00
209,7,Check credit history,0,2023-04-20 12:03:03.780860827+00:00,2023-04-20 12:14:14.603531291+00:00
210,7,Assess loan risk,11,2023-04-20 12:14:14.603531291+00:00,2023-04-20 12:34:14.603531291+00:00
211,7,Check credit history,0,2023-04-20 12:34:14.603531291+00:00,2023-04-20 12:48:03.426664585+00:00
212,7,Assess loan risk,11,2023-04-20 12:48:03.426664585+00:00,2023-04-20 13:08:03.426664585+00:00
213,7,Appraise property,3,2023-04-20 13:08:03.426664585+00:00,2023-04-20 13:25:20.141397695+00:00
214,7,Assess loan risk,11,2023-04-20 13:25:20.141397695+00:00,2023-04-20 13:45:20.141397695+00:00
215,7,Check credit history,0,2023-04-20 13:45:20.141397695+00:00,2023-04-20 13:45:25.363622544+00:00
216,7,Assess loan risk,11,2023-04-20 13:45:25.363622544+00:00,2023-04-20 14:05:25.363622544+00:00
217,7,Assess loan risk,11,2023-04-20 14:05:25.363622544+00:00,2023-04-20 14:25:25.363622544+00:00
218,7,Reject application,0,2023-04-20 14:25:25.363622544+00:00,2023-04-20 14:35:25.363622544+00:00
219,7,zzz_end,0,2023-04-20 14:35:25.363622544+00:00,2023-04-20 14:35:25.363622544+00:00
220,8,Check application form completeness,0,2023-04-20 12:00:00+00:00,2023-04-20 13:18:33.481830973+00:00
221,8,Appraise property,3,2023-04-20 13:18:33.481830973+00:00,2023-04-20 13:24:29.679478431+00:00
222,8,AML check,2,2023-04-20 13:24:29.679478431+00:00,2023-04-20 15:17:23.389691380+00:00
223,8,Check credit history,0,2023-04-20 15:17:23.389691380+00:00,2023-04-20 16:34:54.082838096+00:00
224,8,Assess loan risk,11,2023-04-20 16:34:54.082838096+00:00,2023-04-20 16:54:54.082838096+00:00
225,8,Check credit history,0,2023-04-20 16:54:54.082838096+00:00,2023-04-20 17:14:00.468137995+00:00
226,8,Assess loan risk,11,2023-04-20 17:14:00.468137995+00:00,2023-04-20 17:34:00.468137995+00:00
227,8,Reject application,0,2023-04-20 17:34:00.468137995+00:00,2023-04-20 17:44:00.468137995+00:00
228,8,zzz_end,0,2023-04-20 17:44:00.468137995+00:00,2023-04-20 17:44:00.468137995+00:00
229,9,Check application form completeness,0,2023-04-20 12:30:00+00:00,2023-04-20 12:41:23.714828494+00:00
230,9,Appraise property,3,2023-04-20 12:41:23.714828494+00:00,2023-04-20 12:59:03.162675152+00:00
231,9,AML check,2,2023-04-20 12:59:03.162675152+00:00,2023-04-20 13:05:31.360234521+00:00
232,9,Check credit history,0,2023-04-20 13:05:31.360234521+00:00,2023-04-20 13:13:38.920590775+00:00
233,9,Assess loan risk,11,2023-04-20 13:13:38.920590775+00:00,2023-04-20 13:33:38.920590775+00:00
234,9,Check application form completeness,0,2023-04-20 13:33:38.920590775+00:00,2023-04-20 13:54:16.831371038+00:00
235,9,Appraise property,3,2023-04-20 13:54:16.831371038+00:00,2023-04-20 15:10:06.042423326+00:00
236,9,AML check,2,2023-04-20 15:10:06.042423326+00:00,2023-04-20 16:16:56.460268712+00:00
237,9,Check credit history,0,2023-04-20 16:16:56.460268712+00:00,2023-04-20 16:34:45.915862952+00:00
238,9,Assess loan risk,11,2023-04-20 16:34:45.915862952+00:00,2023-04-20 16:54:45.915862952+00:00
239,9,Reject application,0,2023-04-20 16:54:45.915862952+00:00,2023-04-20 17:04:45.915862952+00:00
240,9,zzz_end,0,2023-04-20 17:04:45.915862952+00:00,2023-04-20 17:04:45.915862952+00:00
241,10,Check application form completeness,0,2023-04-20 13:00:00+00:00,2023-04-20 13:11:09.728524085+00:00
242,10,Appraise property,3,2023-04-20 13:11:09.728524085+00:00,2023-04-20 13:26:37.244527112+00:00
243,10,AML check,2,2023-04-20 13:26:37.244527112+00:00,2023-04-20 14:30:46.435844537+00:00
244,10,Check credit history,0,2023-04-20 14:30:46.435844537+00:00,2023-04-20 15:32:43.290905695+00:00
245,10,Assess loan risk,11,2023-04-20 15:32:43.290905695+00:00,2023-04-20 15:52:43.290905695+00:00
246,10,Appraise property,3,2023-04-20 15:52:43.290905695+00:00,2023-04-20 15:52:56.830880352+00:00
247,10,Assess loan risk,11,2023-04-20 15:52:56.830880352+00:00,2023-04-20 16:12:56.830880352+00:00
248,10,Check credit history,0,2023-04-20 16:12:56.830880352+00:00,2023-04-20 17:12:02.289591680+00:00
249,10,Assess loan risk,11,2023-04-20 17:12:02.289591680+00:00,2023-04-20 17:32:02.289591680+00:00
250,10,Check application form completeness,0,2023-04-20 17:32:02.289591680+00:00,2023-04-20 17:32:24.089117056+00:00
251,10,Appraise property,3,2023-04-20 17:32:24.089117056+00:00,2023-04-20 17:39:47.031086336+00:00
252,10,AML check,2,2023-04-20 17:39:47.031086336+00:00,2023-04-20 17:47:08.332897963+00:00
253,10,Check credit history,0,2023-04-20 17:47:08.332897963+00:00,2023-04-20 18:54:28.478757135+00:00
254,10,Assess loan risk,11,2023-04-20 18:54:28.478757135+00:00,2023-04-20 19:14:28.478757135+00:00
255,10,Check credit history,0,2023-04-20 19:14:28.478757135+00:00,2023-04-20 19:33:04.035426711+00:00
