,case_id,activity,resource,start_timestamp,lifecycle:transition_start,end_timestamp,lifecycle:transition_end
3921,174490,W_Completeren aanvraag,11122,2011-10-05 18:37:16.978000+00:00,START,2011-10-04 19:35:53.808000+00:00,COMPLETE
3922,174490,W_Completeren aanvraag,11122,2011-10-05 18:37:16.978000+00:00,START,2011-10-05 13:10:07.777000+00:00,COMPLETE
3923,174490,W_Completeren aanvraag,11122,2011-10-05 18:37:16.978000+00:00,START,2011-10-05 13:10:55.050000+00:00,COMPLETE
3924,174490,W_Completeren aanvraag,11122,2011-10-05 18:37:16.978000+00:00,START,2011-10-05 18:37:14.708000+00:00,COMPLETE
3925,174490,W_Completeren aanvraag,11122,2011-10-05 18:37:16.978000+00:00,START,2011-10-05 18:44:09.229000+00:00,COMPLETE
4146,174526,W_Afhandelen leads,11009,2011-10-05 09:03:16.610000+00:00,START,2011-10-05 09:03:51.556000+00:00,COMPLETE
4457,174608,W_Completeren aanvraag,11189,2011-10-05 09:37:15.328000+00:00,START,2011-10-05 10:01:37.995000+00:00,COMPLETE
4505,174626,W_Afhandelen leads,11169,2011-10-05 10:11:56.952000+00:00,START,2011-10-05 11:59:34.610000+00:00,COMPLETE
4506,174626,W_Afhandelen leads,11169,2011-10-05 10:11:56.952000+00:00,START,2011-10-05 12:07:00.070000+00:00,COMPLETE
4507,174626,W_Afhandelen leads,11169,2011-10-05 12:00:18.994000+00:00,START,2011-10-05 11:59:34.610000+00:00,COMPLETE
4508,174626,W_Afhandelen leads,11169,2011-10-05 12:00:18.994000+00:00,START,2011-10-05 12:07:00.070000+00:00,COMPLETE
5005,174731,W_Afhandelen leads,11169,2011-10-05 14:18:08.888000+00:00,START,2011-10-05 14:28:11.661000+00:00,COMPLETE
5006,174731,W_Afhandelen leads,11169,2011-10-05 14:18:08.888000+00:00,START,2011-10-05 14:32:10.752000+00:00,COMPLETE
5007,174731,W_Afhandelen leads,11169,2011-10-05 14:30:41.306000+00:00,START,2011-10-05 14:28:11.661000+00:00,COMPLETE
5008,174731,W_Afhandelen leads,11169,2011-10-05 14:30:41.306000+00:00,START,2011-10-05 14:32:10.752000+00:00,COMPLETE
5065,174743,W_Afhandelen leads,11169,2011-10-05 14:21:46.325000+00:00,START,2011-10-05 14:28:11.665000+00:00,COMPLETE
5066,174743,W_Afhandelen leads,11169,2011-10-05 14:21:46.325000+00:00,START,2011-10-05 15:01:57.763000+00:00,COMPLETE
5067,174743,W_Afhandelen leads,11169,2011-10-05 15:00:12.783000+00:00,START,2011-10-05 14:28:11.665000+00:00,COMPLETE
5068,174743,W_Afhandelen leads,11169,2011-10-05 15:00:12.783000+00:00,START,2011-10-05 15:01:57.763000+00:00,COMPLETE
5101,174755,W_Beoordelen fraude,10188,2011-10-06 09:14:38.123000+00:00,START,2011-10-06 09:14:44.510000+00:00,COMPLETE
5102,174755,W_Beoordelen fraude,10188,2011-10-06 09:14:38.123000+00:00,START,2011-10-06 15:02:45.891000+00:00,COMPLETE
5103,174755,W_Beoordelen fraude,10188,2011-10-06 15:00:50.875000+00:00,START,2011-10-06 09:14:44.510000+00:00,COMPLETE
5104,174755,W_Beoordelen fraude,10188,2011-10-06 15:00:50.875000+00:00,START,2011-10-06 15:02:45.891000+00:00,COMPLETE
5120,174761,W_Completeren aanvraag,11189,2011-10-05 14:48:16.377000+00:00,START,2011-10-05 14:48:25.350000+00:00,COMPLETE
5121,174761,W_Completeren aanvraag,11189,2011-10-05 14:48:16.377000+00:00,START,2011-10-05 15:03:07.102000+00:00,COMPLETE
5122,174761,W_Completeren aanvraag,11189,2011-10-05 14:53:47.863000+00:00,START,2011-10-05 14:48:25.350000+00:00,COMPLETE
5123,174761,W_Completeren aanvraag,11189,2011-10-05 14:53:47.863000+00:00,START,2011-10-05 15:03:07.102000+00:00,COMPLETE
5124,174761,W_Nabellen offertes,11189,2011-10-05 15:03:20.349000+00:00,START,2011-10-05 15:06:10.149000+00:00,COMPLETE
5125,174761,W_Nabellen offertes,11189,2011-10-05 15:03:20.349000+00:00,START,2011-10-05 15:07:28.285000+00:00,COMPLETE
5126,174761,W_Nabellen offertes,11189,2011-10-05 15:06:23.859000+00:00,START,2011-10-05 15:06:10.149000+00:00,COMPLETE
5127,174761,W_Nabellen offertes,11189,2011-10-05 15:06:23.859000+00:00,START,2011-10-05 15:07:28.285000+00:00,COMPLETE
5128,174761,W_Nabellen offertes,11049,2011-10-11 09:47:47.027000+00:00,START,2011-10-11 09:48:20.927000+00:00,COMPLETE
5129,174761,W_Valideren aanvraag,10138,2011-10-14 13:53:50.666000+00:00,START,2011-10-14 14:07:36.194000+00:00,COMPLETE
5130,174761,W_Nabellen incomplete dossiers,10138,2011-10-14 14:08:58.453000+00:00,START,2011-10-14 14:10:11.829000+00:00,COMPLETE
6584,175042,W_Afhandelen leads,11169,2011-10-06 13:48:01.754000+00:00,START,2011-10-06 13:49:21.688000+00:00,COMPLETE
7023,175102,W_Afhandelen leads,10939,2011-10-06 16:15:22.037000+00:00,START,2011-10-06 16:16:54.012000+00:00,COMPLETE
7294,175189,W_Afhandelen leads,11009,2011-10-07 09:09:56.937000+00:00,START,2011-10-07 09:11:56.191000+00:00,COMPLETE
7295,175189,W_Completeren aanvraag,11201,2011-10-07 11:38:51.420000+00:00,START,2011-10-07 11:46:58.351000+00:00,COMPLETE
7296,175189,W_Completeren aanvraag,11201,2011-10-07 11:38:51.420000+00:00,START,2011-10-07 11:50:24.063000+00:00,COMPLETE
7297,175189,W_Completeren aanvraag,11201,2011-10-07 11:47:13.774000+00:00,START,2011-10-07 11:46:58.351000+00:00,COMPLETE
7298,175189,W_Completeren aanvraag,11201,2011-10-07 11:47:13.774000+00:00,START,2011-10-07 11:50:24.063000+00:00,COMPLETE
7377,175201,W_Afhandelen leads,11009,2011-10-07 09:12:02.159000+00:00,START,2011-10-07 09:13:03.469000+00:00,COMPLETE
7533,175251,W_Completeren aanvraag,11009,2011-10-07 09:23:25.839000+00:00,START,2011-10-07 09:28:28.471000+00:00,COMPLETE
7534,175251,W_Completeren aanvraag,11009,2011-10-07 09:23:25.839000+00:00,START,2011-10-07 09:36:31.360000+00:00,COMPLETE
7535,175251,W_Completeren aanvraag,11009,2011-10-07 09:28:33.443000+00:00,START,2011-10-07 09:28:28.471000+00:00,COMPLETE
7536,175251,W_Completeren aanvraag,11009,2011-10-07 09:28:33.443000+00:00,START,2011-10-07 09:36:31.360000+00:00,COMPLETE
7537,175251,W_Nabellen offertes,11201,2011-10-14 12:01:50.608000+00:00,START,2011-10-14 12:03:59.126000+00:00,COMPLETE
7538,175251,W_Nabellen offertes,11203,2011-10-15 15:27:58.398000+00:00,START,2011-10-15 15:34:49.249000+00:00,COMPLETE
8109,175359,W_Afhandelen leads,11009,2011-10-07 14:43:35.650000+00:00,START,2011-10-07 14:46:04.822000+00:00,COMPLETE
8110,175359,W_Completeren aanvraag,11009,2011-10-07 15:20:44.599000+00:00,START,2011-10-07 15:36:08.808000+00:00,COMPLETE
8122,175368,W_Afhandelen leads,11201,2011-10-07 15:44:13.775000+00:00,START,2011-10-07 15:44:24.604000+00:00,COMPLETE
8123,175368,W_Afhandelen leads,10629,2011-10-07 16:12:45.035000+00:00,START,2011-10-07 16:15:27.357000+00:00,COMPLETE
8347,175413,W_Completeren aanvraag,11181,2011-10-07 17:46:24.426000+00:00,START,2011-10-07 17:58:47.329000+00:00,COMPLETE
8348,175413,W_Nabellen offertes,10912,2011-10-14 18:52:49.276000+00:00,START,2011-10-14 18:54:24.767000+00:00,COMPLETE
8490,175488,W_Afhandelen leads,11000,2011-10-08 10:46:43.610000+00:00,START,2011-10-08 10:47:18.184000+00:00,COMPLETE
8491,175488,W_Afhandelen leads,11000,2011-10-08 10:46:43.610000+00:00,START,2011-10-08 10:49:12.686000+00:00,COMPLETE
8492,175488,W_Afhandelen leads,11000,2011-10-08 10:46:43.610000+00:00,START,2011-10-08 10:50:41.568000+00:00,COMPLETE
8493,175488,W_Afhandelen leads,11000,2011-10-08 10:46:43.610000+00:00,START,2011-10-08 11:17:35.371000+00:00,COMPLETE
8494,175488,W_Afhandelen leads,11000,2011-10-08 10:47:20.200000+00:00,START,2011-10-08 10:47:18.184000+00:00,COMPLETE
8495,175488,W_Afhandelen leads,11000,2011-10-08 10:47:20.200000+00:00,START,2011-10-08 10:49:12.686000+00:00,COMPLETE
8496,175488,W_Afhandelen leads,11000,2011-10-08 10:47:20.200000+00:00,START,2011-10-08 10:50:41.568000+00:00,COMPLETE
8497,175488,W_Afhandelen leads,11000,2011-10-08 10:47:20.200000+00:00,START,2011-10-08 11:17:35.371000+00:00,COMPLETE
8498,175488,W_Afhandelen leads,11000,2011-10-08 10:49:15.762000+00:00,START,2011-10-08 10:47:18.184000+00:00,COMPLETE
8499,175488,W_Afhandelen leads,11000,2011-10-08 10:49:15.762000+00:00,START,2011-10-08 10:49:12.686000+00:00,COMPLETE
8500,175488,W_Afhandelen leads,11000,2011-10-08 10:49:15.762000+00:00,START,2011-10-08 10:50:41.568000+00:00,COMPLETE
8501,175488,W_Afhandelen leads,11000,2011-10-08 10:49:15.762000+00:00,START,2011-10-08 11:17:35.371000+00:00,COMPLETE
8502,175488,W_Afhandelen leads,11000,2011-10-08 11:15:30.867000+00:00,START,2011-10-08 10:47:18.184000+00:00,COMPLETE
8503,175488,W_Afhandelen leads,11000,2011-10-08 11:15:30.867000+00:00,START,2011-10-08 10:49:12.686000+00:00,COMPLETE
8504,175488,W_Afhandelen leads,11000,2011-10-08 11:15:30.867000+00:00,START,2011-10-08 10:50:41.568000+00:00,COMPLETE
8505,175488,W_Afhandelen leads,11000,2011-10-08 11:15:30.867000+00:00,START,2011-10-08 11:17:35.371000+00:00,COMPLETE
8506,175488,W_Completeren aanvraag,11181,2011-10-08 11:43:56.732000+00:00,START,2011-10-08 11:54:25.398000+00:00,COMPLETE
8809,175591,W_Completeren aanvraag,11181,2011-10-08 16:24:04.908000+00:00,START,2011-10-08 16:26:52.776000+00:00,COMPLETE
8810,175591,W_Completeren aanvraag,11189,2011-10-10 09:14:04.628000+00:00,START,2011-10-10 09:22:12.810000+00:00,COMPLETE
8811,175591,W_Nabellen offertes,11189,2011-10-10 09:22:36.791000+00:00,START,2011-10-10 09:23:12.106000+00:00,COMPLETE
8812,175591,W_Nabellen offertes,11189,2011-10-10 09:22:36.791000+00:00,START,2011-10-19 13:34:17.115000+00:00,COMPLETE
8813,175591,W_Nabellen offertes,11189,2011-10-10 09:22:36.791000+00:00,START,2011-10-19 13:34:42.992000+00:00,COMPLETE
8814,175591,W_Nabellen offertes,11119,2011-10-17 17:37:42.470000+00:00,START,2011-10-17 17:40:02.324000+00:00,COMPLETE
8815,175591,W_Nabellen offertes,11119,2011-10-17 17:37:42.470000+00:00,START,2011-10-19 17:26:36.171000+00:00,COMPLETE
8816,175591,W_Nabellen offertes,11180,2011-10-19 10:41:18.616000+00:00,START,2011-10-19 10:42:31.697000+00:00,COMPLETE
8817,175591,W_Nabellen offertes,11189,2011-10-19 13:32:35.817000+00:00,START,2011-10-10 09:23:12.106000+00:00,COMPLETE
8818,175591,W_Nabellen offertes,11189,2011-10-19 13:32:35.817000+00:00,START,2011-10-19 13:34:17.115000+00:00,COMPLETE
8819,175591,W_Nabellen offertes,11189,2011-10-19 13:32:35.817000+00:00,START,2011-10-19 13:34:42.992000+00:00,COMPLETE
8820,175591,W_Nabellen offertes,11189,2011-10-19 13:34:35.303000+00:00,START,2011-10-10 09:23:12.106000+00:00,COMPLETE
8821,175591,W_Nabellen offertes,11189,2011-10-19 13:34:35.303000+00:00,START,2011-10-19 13:34:17.115000+00:00,COMPLETE
8822,175591,W_Nabellen offertes,11189,2011-10-19 13:34:35.303000+00:00,START,2011-10-19 13:34:42.992000+00:00,COMPLETE
8823,175591,W_Nabellen offertes,11119,2011-10-19 17:11:34.026000+00:00,START,2011-10-17 17:40:02.324000+00:00,COMPLETE
8824,175591,W_Nabellen offertes,11119,2011-10-19 17:11:34.026000+00:00,START,2011-10-19 17:26:36.171000+00:00,COMPLETE
8825,175591,W_Nabellen offertes,10982,2011-10-19 18:41:29.050000+00:00,START,2011-10-19 18:43:01.752000+00:00,COMPLETE
8826,175591,W_Nabellen offertes,11203,2011-10-28 20:48:28.847000+00:00,START,2011-10-28 20:50:15.115000+00:00,COMPLETE
8827,175591,W_Nabellen offertes,10913,2011-10-29 11:22:59.501000+00:00,START,2011-10-29 11:25:42.169000+00:00,COMPLETE
9012,175648,W_Afhandelen leads,10881,2011-10-10 09:44:54.659000+00:00,START,2011-10-10 09:46:40.237000+00:00,COMPLETE
9057,175663,W_Afhandelen leads,10881,2011-10-10 09:45:06.938000+00:00,START,2011-10-10 09:45:26.781000+00:00,COMPLETE
9421,175747,W_Afhandelen leads,10881,2011-10-10 09:25:29.913000+00:00,START,2011-10-10 09:25:48.754000+00:00,COMPLETE
9721,175886,W_Afhandelen leads,10881,2011-10-10 11:37:56.726000+00:00,START,2011-10-10 11:39:21.828000+00:00,COMPLETE
9840,175958,W_Completeren aanvraag,10912,2011-10-10 14:49:39.655000+00:00,START,2011-10-10 15:05:17.734000+00:00,COMPLETE
9841,175958,W_Nabellen offertes,11119,2011-10-17 20:16:26.442000+00:00,START,2011-10-17 20:19:16.189000+00:00,COMPLETE
9842,175958,W_Nabellen offertes,11189,2011-10-19 10:48:29.889000+00:00,START,2011-10-19 10:52:37.663000+00:00,COMPLETE
9871,175973,W_Completeren aanvraag,10889,2011-10-10 15:49:55.491000+00:00,START,2011-10-10 15:57:52.680000+00:00,COMPLETE
9872,175973,W_Nabellen offertes,11119,2011-10-17 20:24:27.019000+00:00,START,2011-10-17 20:26:30.741000+00:00,COMPLETE
9873,175973,W_Nabellen offertes,11049,2011-10-18 10:26:27.946000+00:00,START,2011-10-18 10:28:34.721000+00:00,COMPLETE
9874,175973,W_Valideren aanvraag,10138,2011-10-24 12:46:48.759000+00:00,START,2011-10-24 13:51:00.907000+00:00,COMPLETE
9875,175973,W_Valideren aanvraag,10138,2011-10-24 12:46:48.759000+00:00,START,2011-10-24 14:16:56.627000+00:00,COMPLETE
9876,175973,W_Valideren aanvraag,10138,2011-10-24 12:46:48.759000+00:00,START,2011-10-24 15:50:17.165000+00:00,COMPLETE
9877,175973,W_Valideren aanvraag,10138,2011-10-24 13:51:09.520000+00:00,START,2011-10-24 13:51:00.907000+00:00,COMPLETE
9878,175973,W_Valideren aanvraag,10138,2011-10-24 13:51:09.520000+00:00,START,2011-10-24 14:16:56.627000+00:00,COMPLETE
9879,175973,W_Valideren aanvraag,10138,2011-10-24 13:51:09.520000+00:00,START,2011-10-24 15:50:17.165000+00:00,COMPLETE
9880,175973,W_Valideren aanvraag,10138,2011-10-24 15:49:19.312000+00:00,START,2011-10-24 13:51:00.907000+00:00,COMPLETE
9881,175973,W_Valideren aanvraag,10138,2011-10-24 15:49:19.312000+00:00,START,2011-10-24 14:16:56.627000+00:00,COMPLETE
9882,175973,W_Valideren aanvraag,10138,2011-10-24 15:49:19.312000+00:00,START,2011-10-24 15:50:17.165000+00:00,COMPLETE
9888,175988,W_Afhandelen leads,10982,2011-10-10 17:14:09.142000+00:00,START,2011-10-10 17:16:29.433000+00:00,COMPLETE
9889,175988,W_Afhandelen leads,10889,2011-10-10 19:51:44.283000+00:00,START,2011-10-10 19:52:53.099000+00:00,COMPLETE
10178,176075,W_Afhandelen leads,10881,2011-10-11 08:58:44.678000+00:00,START,2011-10-11 08:59:44.196000+00:00,COMPLETE
10339,176099,W_Afhandelen leads,10881,2011-10-11 08:59:59.440000+00:00,START,2011-10-11 09:00:53.017000+00:00,COMPLETE
10568,176164,W_Afhandelen leads,10881,2011-10-11 12:15:02.611000+00:00,START,2011-10-11 12:15:21.523000+00:00,COMPLETE
10690,176185,W_Completeren aanvraag,11169,2011-10-11 14:19:31.897000+00:00,START,2011-10-11 14:29:56.347000+00:00,COMPLETE
10691,176185,W_Completeren aanvraag,11169,2011-10-11 14:19:31.897000+00:00,START,2011-10-11 14:33:10.204000+00:00,COMPLETE
10692,176185,W_Completeren aanvraag,11169,2011-10-11 14:29:59.064000+00:00,START,2011-10-11 14:29:56.347000+00:00,COMPLETE
10693,176185,W_Completeren aanvraag,11169,2011-10-11 14:29:59.064000+00:00,START,2011-10-11 14:33:10.204000+00:00,COMPLETE
10694,176185,W_Nabellen offertes,11049,2011-10-18 09:54:33.518000+00:00,START,2011-10-18 09:57:13.539000+00:00,COMPLETE
10695,176185,W_Valideren aanvraag,10972,2011-10-24 11:27:49.901000+00:00,START,2011-10-24 12:37:37.876000+00:00,COMPLETE
10758,176212,W_Afhandelen leads,10881,2011-10-11 15:39:00.153000+00:00,START,2011-10-11 15:39:16.266000+00:00,COMPLETE
10924,176230,W_Completeren aanvraag,11179,2011-10-11 16:19:07.383000+00:00,START,2011-10-11 16:24:44.102000+00:00,COMPLETE
10925,176230,W_Completeren aanvraag,11179,2011-10-11 16:19:07.383000+00:00,START,2011-10-11 16:28:42.782000+00:00,COMPLETE
10926,176230,W_Completeren aanvraag,11179,2011-10-11 16:24:57.558000+00:00,START,2011-10-11 16:24:44.102000+00:00,COMPLETE
10927,176230,W_Completeren aanvraag,11179,2011-10-11 16:24:57.558000+00:00,START,2011-10-11 16:28:42.782000+00:00,COMPLETE
10952,176245,W_Afhandelen leads,10863,2011-10-11 17:37:20.341000+00:00,START,2011-10-11 17:39:48.895000+00:00,COMPLETE
10993,176272,W_Afhandelen leads,11181,2011-10-11 18:48:04.055000+00:00,START,2011-10-11 18:52:40.701000+00:00,COMPLETE
11073,176278,W_Completeren aanvraag,11181,2011-10-11 20:02:24.626000+00:00,START,2011-10-11 20:19:04.057000+00:00,COMPLETE
11074,176278,W_Completeren aanvraag,11181,2011-10-11 20:02:24.626000+00:00,START,2011-10-11 20:21:07.452000+00:00,COMPLETE
11075,176278,W_Completeren aanvraag,11181,2011-10-11 20:19:07.982000+00:00,START,2011-10-11 20:19:04.057000+00:00,COMPLETE
11076,176278,W_Completeren aanvraag,11181,2011-10-11 20:19:07.982000+00:00,START,2011-10-11 20:21:07.452000+00:00,COMPLETE
11077,176278,W_Nabellen offertes,11181,2011-10-11 20:24:06.975000+00:00,START,2011-10-11 20:26:46.712000+00:00,COMPLETE
11078,176278,W_Nabellen offertes,11181,2011-10-11 20:24:06.975000+00:00,START,2011-10-18 18:12:35.404000+00:00,COMPLETE
11079,176278,W_Nabellen offertes,11181,2011-10-11 20:24:06.975000+00:00,START,2011-10-18 18:43:19.633000+00:00,COMPLETE
11080,176278,W_Nabellen offertes,11181,2011-10-18 18:10:55.617000+00:00,START,2011-10-11 20:26:46.712000+00:00,COMPLETE
11081,176278,W_Nabellen offertes,11181,2011-10-18 18:10:55.617000+00:00,START,2011-10-18 18:12:35.404000+00:00,COMPLETE
11082,176278,W_Nabellen offertes,11181,2011-10-18 18:10:55.617000+00:00,START,2011-10-18 18:43:19.633000+00:00,COMPLETE
11083,176278,W_Nabellen offertes,11181,2011-10-18 18:42:53.267000+00:00,START,2011-10-11 20:26:46.712000+00:00,COMPLETE
11084,176278,W_Nabellen offertes,11181,2011-10-18 18:42:53.267000+00:00,START,2011-10-18 18:12:35.404000+00:00,COMPLETE
11085,176278,W_Nabellen offertes,11181,2011-10-18 18:42:53.267000+00:00,START,2011-10-18 18:43:19.633000+00:00,COMPLETE
11086,176278,W_Nabellen offertes,11119,2011-10-18 18:52:51.103000+00:00,START,2011-10-18 18:55:00.156000+00:00,COMPLETE
11087,176278,W_Nabellen offertes,10914,2011-10-20 19:06:32.966000+00:00,START,2011-10-20 19:09:31.600000+00:00,COMPLETE
11272,176293,W_Afhandelen leads,10863,2011-10-11 20:48:39.393000+00:00,START,2011-10-11 20:53:49.790000+00:00,COMPLETE
11367,176323,W_Completeren aanvraag,11189,2011-10-12 09:06:18.392000+00:00,START,2011-10-12 09:22:20.574000+00:00,COMPLETE
